scene,psnr,ssim,ssim_x100,lpips,elapsed_sec
Jumping,20.033832550048828,0.8118910789489746,81.18910789489746,0.19766899943351746,732.2360880869996
Skating,18.201507568359375,0.8656451106071472,86.56451106071472,0.1723249852657318,1352.7621189670003
Truck,10.596747398376465,0.31326383352279663,31.326383352279663,0.5454213619232178,931.5846379100003
DynamicFace,13.878422737121582,0.8100818395614624,81.00818395614624,0.17260655760765076,1311.7145294790007
Umbrella,9.911588668823242,0.35329973697662354,35.32997369766235,0.4513189196586609,362.4299300980001
Balloon1,13.04638671875,0.5773744583129883,57.73744583129883,0.36194750666618347,1746.770747083001
Balloon2,10.163654327392578,0.34041160345077515,34.041160345077515,0.4949590861797333,1217.5757843560004
Teadybear,11.937767028808594,0.6044516563415527,60.44516563415527,0.35449108481407166,664.8226349859997
Playground,12.993680000305176,0.5692479610443115,56.92479610443115,0.3818681240081787,1073.7154409439972
